Metadata_matrix,Metadata_condition,Metadata_dose,mean directionality,sem directionality,mean speed,sem speed,mean xFMI,sem xFMI,mean yFMI,sem yFMI,n
FN,CP17,5,-0.28764619003125436,0.10920351935637136,-0.44226363258934454,0.1022332254603424,-0.2219251006456377,0.07756411114477396,-0.1851176069030315,0.08062123692489266,177
FN,CP17,50,-0.05618223746289158,0.051012997006874644,-0.16273444288349095,0.04954892966043333,0.04950982634937644,0.05227723741727496,0.0929429158082366,0.04923283020458031,446
FN,SP17,5,0.037327028666395624,0.06980497736999415,0.1786364349672325,0.09204707470861388,0.29061101586384525,0.07726987829571151,0.09302971769756127,0.08679566792886607,212
FN,SP17,50,-0.23777264432182402,0.06729399855398811,0.027503215435795633,0.0824105588662637,0.6583123773102092,0.07353519692868873,0.04925345858464909,0.08668509064026354,187
FN,vehicle,None,3.841623988617729e-17,0.06649001086034816,4.327408164287399e-17,0.06649001086034816,-7.527443196857598e-18,0.06649001086034814,5.284438350132047e-18,0.06649001086034814,220
HEM,CP17,5,0.06574722427389587,0.035562817551272004,-0.15742387121174078,0.035099304997940964,0.08938419382907739,0.03971834967847155,0.00919591437931542,0.03791470087536185,766
HEM,CP17,50,-0.05703672726992036,0.04165848069327253,-0.2049021492995917,0.03575119098593924,0.08730054517646622,0.041524102580756395,-0.004900830226295878,0.04205270590157569,589
HEM,SP17,5,-0.01269106019820032,0.05172600301520924,-0.5145231021755341,0.05427872219491564,-0.02053498782135077,0.057178691742011775,-0.022356355096452864,0.05166501397469267,339
HEM,SP17,50,0.14217673409854517,0.05442670557424992,-0.14228672940552686,0.06495566433100042,0.013134535524662391,0.05348681635702354,-0.04676909248361367,0.05289145515685248,464
HEM,vehicle,None,2.8455456972726014e-17,0.03349971189030144,2.0274580625478933e-17,0.033499711890301424,6.1720173247985334e-18,0.03349971189030143,4.144771068450814e-18,0.03349971189030144,883
