Metadata_matrix,Metadata_condition,Metadata_dose,Track_Sector,mean directionality,sem directionality,mean speed,sem speed,mean xFMI,sem xFMI,mean yFMI,sem yFMI,n
FN,CP17,5,1,-0.21840931884139606,0.1705586026435621,-0.3712684501488905,0.16172318498536253,-0.8791344953893425,0.0865358179030098,-0.11512895196551147,0.08018891906362821,73
FN,CP17,5,2,-0.6667281738750644,0.3471789316211978,-0.14561230848677006,0.40241926676939893,1.2399573192059352,0.2846129072485773,0.09610593977042903,0.1464744731221959,17
FN,CP17,5,3,-0.3140638915011912,0.23367620884009263,-0.4423352012529725,0.20134773953325705,0.047887937420596445,0.1082503127259135,0.9971679208968154,0.10217248365532977,39
FN,CP17,5,4,-0.23722134657682406,0.2125817271235764,-0.6552413336313325,0.18825309290827252,0.04060773673416613,0.12392973611105902,-1.3517656837380694,0.10700159933500365,48
FN,CP17,50,1,-0.09598385712723459,0.07540369095074352,-0.19613154612958814,0.06917368241161419,-0.7175971700844405,0.05701588551444742,-0.019984917527614967,0.050888509663776886,170
FN,CP17,50,2,0.05364191569708589,0.14636006733415047,-0.12296779350814621,0.15184809110724504,1.5955454703017418,0.12709439396245265,-0.09906651850906041,0.08588308770422289,66
FN,CP17,50,3,0.004475403199283369,0.0878766024021381,-0.20288982265099498,0.08465681383510693,0.16269919759864063,0.06509170149284486,0.9631115253422983,0.06080759133555661,146
FN,CP17,50,4,-0.20209058593629387,0.15332754553259484,-0.023428284459751078,0.15540828109901683,0.2345752746384421,0.08356842644538054,-1.3941549382532732,0.0996776512594905,64
FN,SP17,5,1,0.2469034652694936,0.1117674963189326,0.39493910311580344,0.1634953594303056,-0.6285000325890543,0.08842172779044856,0.11932741327160992,0.09679354304044518,85
FN,SP17,5,2,-0.04572568982195613,0.20107612128487226,0.16103871395485223,0.20588154253084978,1.8785599392719898,0.1495091764862869,0.07918568217941221,0.16305186314830902,26
FN,SP17,5,3,-0.05108135050907239,0.1534700567628247,0.07844772332824569,0.17617984486900437,0.7460915830717239,0.09277472169354332,1.4429740589625917,0.13974678564934084,48
FN,SP17,5,4,-0.17797531529858018,0.12434664868300199,-0.06889427989381049,0.17338431842922272,0.5731525231073645,0.09666519009440289,-1.1649455196806222,0.11640729842601573,53
FN,SP17,50,1,-0.071096599357184,0.12519675581618278,0.32077878911353663,0.1749179657341442,-0.257188301565195,0.09368692253249516,0.15792475381405055,0.13000877566136476,59
FN,SP17,50,2,-0.21667496604328465,0.14466058401360804,-0.21869638881082143,0.1480322229450141,1.9416013306580762,0.11316410673556322,-0.2660796589031246,0.11527423975890973,38
FN,SP17,50,3,-0.4520031610107243,0.11281331163061958,-0.1912353348641316,0.13673251722858779,0.6375847521326796,0.07629510644814749,1.0297087731629349,0.11465491812056168,55
FN,SP17,50,4,-0.20499893031064523,0.1650898106722496,0.14415882631810217,0.17075883541061973,0.8408717833443242,0.08949782393024598,-1.3322891201526366,0.1348745177534888,35
FN,vehicle,None,1,0.2193347752663948,0.09883815816510227,0.24745330242768865,0.10827117240091243,-0.7773543414114928,0.07825037261371277,-0.03918828302901109,0.07878347999520123,90
FN,vehicle,None,2,-0.3585228298085536,0.1635027436196645,-0.04529926523609762,0.12802586288161538,1.179452185893698,0.08564203666377958,-0.05330715180007579,0.07866905018674278,42
FN,vehicle,None,3,-0.1659242830241101,0.12789740204796138,-0.28468401630219076,0.1206598331948796,0.2585611684812758,0.07973683740091958,0.9289052751999225,0.09397494881693896,55
FN,vehicle,None,4,0.13465650437302376,0.1636833072451833,-0.14274567218046597,0.186956956883742,0.188001050091784,0.11832768104778948,-1.3734528572055016,0.1247410795422264,33
HEM,CP17,5,1,0.04511757591245022,0.05714354784868765,-0.17921318188402122,0.05633203789691916,-0.8366121627362951,0.041766890505077675,-0.04318650484482798,0.03623431136744828,269
HEM,CP17,5,2,0.060518770439433676,0.08240691040034973,-0.1403987905571069,0.07765281308430695,1.5094452085151036,0.06914495832732448,-0.049713567598360896,0.050747842980600706,151
HEM,CP17,5,3,0.15713353245228245,0.0747705048446696,-0.14262712097540822,0.07633086313239568,0.19762766960553166,0.05256118419572716,1.121350899529412,0.057618748018934976,190
HEM,CP17,5,4,-0.004922818134186051,0.07840526860640025,-0.15435236578167325,0.0780045634512768,0.17975308037375012,0.0465982845562933,-1.1980043717014193,0.06638449419501949,156
HEM,CP17,50,1,-0.005776922229185078,0.07334443235565942,-0.16573373127480606,0.06822738624046217,-0.835126723574585,0.05537359616242836,-0.10422408549648314,0.04191247932691204,182
HEM,CP17,50,2,-0.14351323881555197,0.08395000903204577,-0.17388250534862407,0.07016262107655827,1.2774539096968556,0.05795085013201863,-0.0015001478376928223,0.056172194811033735,130
HEM,CP17,50,3,-0.07925237078242775,0.0825036807841165,-0.2314849797200394,0.06652888980704172,0.12226655060948559,0.04836474216581248,0.974934872391394,0.06473635634406832,158
HEM,CP17,50,4,-0.011467536862403909,0.09805526913886066,-0.2633989441542643,0.08270423001931042,0.15147866842540425,0.05477440496254099,-1.157668034133349,0.07830437134721696,119
HEM,SP17,5,1,0.19039686835314126,0.0849106999435273,-0.6442463441670061,0.08302091239779452,-0.9728196890463501,0.06249169049764513,0.06236125559084515,0.057362351307048115,118
HEM,SP17,5,2,-0.2971446664016049,0.11630040615274358,-0.5584289420392761,0.13479162880220394,1.1696188851306522,0.09052773169710213,-0.12176192603689218,0.06106614405122649,65
HEM,SP17,5,3,-0.0731887767606032,0.10277254444737448,-0.2884904245839008,0.11289154415426093,0.13976288663705463,0.079825944912424035,0.9978744984786964,0.07141853920308296,80
HEM,SP17,5,4,-0.02104729494615788,0.11362422236786258,-0.5134887871912412,0.11854079732193704,0.27138294699440313,0.08242449452876756,-1.142800884517302,0.07551595626602998,76
HEM,SP17,50,1,0.25081268564989484,0.09885389662717459,-0.11309567457792641,0.11642497388803692,-0.9847114079916099,0.07096829384624348,-0.052767451184010376,0.0599848171627763,155
HEM,SP17,50,2,-0.03490990015469701,0.12972928022407607,-0.1496672935070331,0.1677854165806606,1.4232090256050987,0.0963117635173447,-0.026229405752170018,0.07358092700392661,78
HEM,SP17,50,3,0.18025387486766625,0.10848943123844007,-0.10802060496886491,0.11955211338233639,0.18290934412536752,0.07469823061562124,1.090764718116628,0.07422168777200872,121
HEM,SP17,50,4,0.07278446999154561,0.10258153313005441,-0.21587882536186034,0.13088207070562982,0.23256689168887038,0.05735542630961558,-1.304168556566526,0.07753120566192857,110
HEM,vehicle,None,1,0.06934440813074737,0.060809253897234454,0.007880307752437121,0.05988394604499139,-0.8444460085414316,0.04353467323238226,-0.04166241401801065,0.03973911454738074,315
HEM,vehicle,None,2,-0.10513646171102392,0.07254956659688053,-0.016396770193257828,0.06985766780007681,1.1763557755997447,0.051976123470437105,0.021969424676517475,0.043475954500416386,162
HEM,vehicle,None,3,0.040461584292908505,0.06431965389938216,0.03042680330883216,0.06991250208331476,0.2173793777566244,0.04276914301668984,1.0581657849903034,0.04606905564897965,211
HEM,vehicle,None,4,-0.06845526179386263,0.06957008656972416,-0.03203115727627432,0.0680109865707247,0.15160927352176706,0.04355738540766658,-1.0959403436660333,0.052271785043921944,195
